"","Company","BeanOrigin","ReviewDate_day","ReviewDate","CocoaPercent","CompanyLocation","Rating","BeanType","BroadBeanOrigin","BroadBeanOrigin_cate","CompanyLocation_cate","CocoaPercent_num"
"42","Alexandre","La Dalia, Matagalpa",1944,2017,"70%","Netherlands",3.5,"Criollo, Trinitario","Nicaragua","Other","Other",0.7
"43","Alexandre","Tien Giang",1944,2017,"70%","Netherlands",3.5,"Trinitario","Vietnam","Other","Other",0.7
"44","Alexandre","Makwale Village, Kyela",1944,2017,"70%","Netherlands",3.5,"Forastero","Tanzania","Other","Other",0.7
"45","Altus aka Cao Artisan","Momotombo",1728,2016,"60%","U.S.A.",2.75,NA,"Nicaragua","Other","U.S.A.",0.6
"46","Altus aka Cao Artisan","Acopagro",1728,2016,"60%","U.S.A.",3,NA,"Peru","Peru","U.S.A.",0.6
"47","Altus aka Cao Artisan","CIAAB Coop",1732,2016,"60%","U.S.A.",2.5,NA,"Bolivia","Other","U.S.A.",0.6
"48","Altus aka Cao Artisan","Villa Andina",1732,2016,"60%","U.S.A.",2.5,NA,"Peru","Peru","U.S.A.",0.6
"49","Altus aka Cao Artisan","Gruppo Salinas",1732,2016,"60%","U.S.A.",2.75,NA,"Ecuador","Ecuador","U.S.A.",0.6
"50","Altus aka Cao Artisan","Sur del Lago",1125,2013,"60%","U.S.A.",2.5,NA,"Venezuela","Venezuela","U.S.A.",0.6
"51","Altus aka Cao Artisan","Conacado",1125,2013,"60%","U.S.A.",3,"Trinitario","Dominican Republic","Dominican Republic","U.S.A.",0.6
"52","Altus aka Cao Artisan","Bolivia",1129,2013,"80%","U.S.A.",3.25,NA,"Bolivia","Other","U.S.A.",0.8
"53","Altus aka Cao Artisan","Bolivia",1133,2013,"60%","U.S.A.",3,NA,"Bolivia","Other","U.S.A.",0.6
"54","Altus aka Cao Artisan","Peru",1133,2013,"60%","U.S.A.",3.25,NA,"Peru","Peru","U.S.A.",0.6
"55","Amano","Morobe",725,2011,"70%","U.S.A.",4,NA,"Papua New Guinea","Other","U.S.A.",0.7
"56","Amano","Dos Rios",470,2010,"70%","U.S.A.",3.75,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.7
"57","Amano","Guayas",470,2010,"70%","U.S.A.",4,NA,"Ecuador","Ecuador","U.S.A.",0.7
"58","Amano","Chuao",544,2010,"70%","U.S.A.",3,"Trinitario","Venezuela","Venezuela","U.S.A.",0.7
"59","Amano","Montanya",363,2009,"70%","U.S.A.",3,NA,"Venezuela","Venezuela","U.S.A.",0.7
"60","Amano","Bali, Jembrana",304,2008,"70%","U.S.A.",2.75,NA,"Indonesia","Other","U.S.A.",0.7
"61","Amano","Madagascar",129,2007,"70%","U.S.A.",3.5,"Trinitario","Madagascar","Madagascar","U.S.A.",0.7
"62","Amano","Cuyagua",147,2007,"70%","U.S.A.",3,NA,"Venezuela","Venezuela","U.S.A.",0.7
"63","Amano","Ocumare",175,2007,"70%","U.S.A.",3.75,"Criollo","Venezuela","Venezuela","U.S.A.",0.7
"64","Amatller (Simon Coll)","Ghana",322,2009,"70%","Spain",3,"Forastero","Ghana","Other","Other",0.7
"65","Amatller (Simon Coll)","Ecuador",327,2009,"70%","Spain",2.75,NA,"Ecuador","Ecuador","Other",0.7
"66","Amatller (Simon Coll)","Ecuador",464,2009,"85%","Spain",2.75,NA,"Ecuador","Ecuador","Other",0.85
"67","Amatller (Simon Coll)","Ghana",464,2009,"85%","Spain",3,"Forastero","Ghana","Other","Other",0.85
"68","Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,"72%","Peru",3.25,NA,"Peru","Peru","Other",0.72
"69","Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,"73%","Peru",3.5,"Trinitario","Peru","Peru","Other",0.73
"70","Ambrosia","Belize",1494,2015,"64%","Canada",3,"Trinitario","Belize","Other","Canada",0.64
"71","Ambrosia","Madagascar",1494,2015,"66%","Canada",3.25,"Trinitario","Madagascar","Madagascar","Canada",0.66
"72","Ambrosia","Dominican Republic",1498,2015,"75%","Canada",3.25,NA,"Dominican Republic","Dominican Republic","Canada",0.75
"73","Ambrosia","Papua New Guinea",1498,2015,"63%","Canada",3.25,NA,"Papua New Guinea","Other","Canada",0.63
"74","Ambrosia","Venezuela",1498,2015,"70%","Canada",3.25,NA,"Venezuela","Venezuela","Canada",0.7
"75","Ambrosia","Peru",1498,2015,"68%","Canada",3.5,NA,"Peru","Peru","Canada",0.68
"76","Amedei","Piura, Blanco de Criollo",979,2012,"70%","Italy",3.75,NA,"Peru","Peru","Italy",0.7
"77","Amedei","Porcelana",111,2007,"70%","Italy",4,"Criollo (Porcelana)","Venezuela","Venezuela","Italy",0.7
"78","Amedei","Nine",111,2007,"75%","Italy",4,"Blend",NA,"Other","Italy",0.75
"79","Amedei","Chuao",111,2007,"70%","Italy",5,"Trinitario","Venezuela","Venezuela","Italy",0.7
"80","Amedei","Ecuador",123,2007,"70%","Italy",3,"Trinitario","Ecuador","Ecuador","Italy",0.7
"81","Amedei","Jamaica",123,2007,"70%","Italy",3,"Trinitario","Jamaica","Other","Italy",0.7
"82","Amedei","Grenada",123,2007,"70%","Italy",3.5,"Trinitario","Grenada","Other","Italy",0.7
"83","Amedei","Venezuela",123,2007,"70%","Italy",3.75,"Trinitario (85% Criollo)","Venezuela","Venezuela","Italy",0.7
"84","Amedei","Madagascar",123,2007,"70%","Italy",4,"Trinitario (85% Criollo)","Madagascar","Madagascar","Italy",0.7
"85","Amedei","Trinidad",129,2007,"70%","Italy",3.5,"Trinitario","Trinidad","Other","Italy",0.7
"86","Amedei","Toscano Black",170,2007,"63%","Italy",3.5,"Blend",NA,"Other","Italy",0.63
"87","Amedei","Toscano Black",40,2006,"70%","Italy",5,"Blend",NA,"Other","Italy",0.7
"88","Amedei","Toscano Black",75,2006,"66%","Italy",4,"Blend",NA,"Other","Italy",0.66
"89","AMMA","Catongo",1065,2013,"75%","Brazil",3.25,"Forastero (Catongo)","Brazil","Other","Other",0.75
"90","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"85%","Brazil",2.75,"Forastero (Parazinho)","Brazil","Other","Other",0.85
"91","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"50%","Brazil",3.75,"Forastero (Parazinho)","Brazil","Other","Other",0.5
"92","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"75%","Brazil",3.75,"Forastero (Parazinho)","Brazil","Other","Other",0.75
"93","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"60%","Brazil",4,"Forastero (Parazinho)","Brazil","Other","Other",0.6
"94","Anahata","Elvesia",1259,2014,"75%","U.S.A.",3,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.75
"95","Animas","Alto Beni",1852,2016,"75%","U.S.A.",3.5,NA,"Bolivia","Other","U.S.A.",0.75
"96","Ara","Madagascar",1375,2014,"75%","France",3,"Trinitario","Madagascar","Madagascar","France",0.75
"97","Ara","Chiapas",1379,2014,"72%","France",2.5,NA,"Mexico","Other","France",0.72
"98","Ara","Equateur",1379,2014,"75%","France",2.75,NA,"Ecuador","Ecuador","France",0.75
"99","Ara","Trincheras",1379,2014,"75%","France",3,NA,"Venezuela","Venezuela","France",0.75
"100","Arete","San Juan",1724,2016,"70%","U.S.A.",3.5,"Trinitario","Trinidad","Other","U.S.A.",0.7
"101","Arete","Kokoa Kamili",1724,2016,"70%","U.S.A.",3.75,NA,"Tanzania","Other","U.S.A.",0.7
"102","Arete","Tien Giang",1900,2016,"73%","U.S.A.",3.5,"Trinitario","Vietnam","Other","U.S.A.",0.73
"103","Arete","Hacienda Victoria",1904,2016,"70%","U.S.A.",3.25,NA,"Ecuador","Ecuador","U.S.A.",0.7
"104","Arete","Costa Esmeraldas",1904,2016,"70%","U.S.A.",3.25,NA,"Ecuador","Ecuador","U.S.A.",0.7
"105","Arete","Lachua",1904,2016,"70%","U.S.A.",3.5,NA,"Guatemala","Other","U.S.A.",0.7
"106","Arete","Rugoso",1904,2016,"70%","U.S.A.",3.75,NA,"Nicaragua","Other","U.S.A.",0.7
"107","Arete","La Masica, FHIA",1908,2016,"70%","U.S.A.",3.5,NA,"Honduras","Other","U.S.A.",0.7
"108","Arete","Coto Brus, Terciopelo",1908,2016,"70%","U.S.A.",4,NA,"Costa Rica","Other","U.S.A.",0.7
"109","Arete","Phantom",1924,2016,"70%","U.S.A.",4,"Forastero (Nacional)","Peru","Peru","U.S.A.",0.7
"110","Arete","Elvesia",1928,2016,"70%","U.S.A.",3.75,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.7
"111","Arete","Matasawalevu",1928,2016,"70%","U.S.A.",3.25,NA,"Fiji","Other","U.S.A.",0.7
"112","Arete","Lam Dong",1928,2016,"73%","U.S.A.",3.25,NA,"Vietnam","Other","U.S.A.",0.73
"113","Arete","Fazenda Camboa",1534,2015,"70%","U.S.A.",3.5,NA,"Brazil","Other","U.S.A.",0.7
"114","Arete","Nacional",1534,2015,"68%","U.S.A.",3.5,"Forastero (Nacional)","Peru","Peru","U.S.A.",0.68
"115","Arete","Puerto Quito, heirloom",1534,2015,"70%","U.S.A.",3.75,"Forastero (Nacional)","Ecuador","Ecuador","U.S.A.",0.7
"116","Arete","Oko Caribe",1598,2015,"70%","U.S.A.",3.5,NA,"Domincan Republic","Other","U.S.A.",0.7
"117","Arete","Maya Mountain",1598,2015,"70%","U.S.A.",3.75,"Trinitario","Belize","Other","U.S.A.",0.7
"118","Arete","Chuno",1598,2015,"70%","U.S.A.",4,"Criollo, Trinitario","Nicaragua","Other","U.S.A.",0.7
"119","Arete","Fazenda Camboa",1602,2015,"75%","U.S.A.",2.75,NA,"Brazil","Other","U.S.A.",0.75
"120","Arete","Guatemala",1602,2015,"70%","U.S.A.",3.25,NA,"Guatemala","Other","U.S.A.",0.7
"121","Arete","Camino Verde",1602,2015,"75%","U.S.A.",3.5,NA,"Ecuador","Ecuador","U.S.A.",0.75
"122","Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,"72%","U.K.",3.25,"Trinitario","Trinidad","Other","U.K.",0.72
"123","Artisan du Chocolat","Colombia, Casa Luker",947,2012,"72%","U.K.",3.75,NA,"Colombia","Other","U.K.",0.72
"124","Artisan du Chocolat","Haiti",729,2011,"72%","U.K.",4,NA,"Haiti","Other","U.K.",0.72
"125","Artisan du Chocolat","Panama",745,2011,"72%","U.K.",2.75,NA,"Panama","Other","U.K.",0.72
"126","Artisan du Chocolat","Venezuela",486,2010,"100%","U.K.",1.75,NA,"Venezuela","Venezuela","U.K.",1
"127","Artisan du Chocolat","Jamaica",531,2010,"72%","U.K.",3.75,"Trinitario","Jamaica","Other","U.K.",0.72
"128","Artisan du Chocolat","Costa Rica",600,2010,"72%","U.K.",3.25,NA,"Costa Rica","Other","U.K.",0.72
"129","Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,"72%","U.K.",3.25,"Trinitario","Vietnam","Other","U.K.",0.72
"130","Artisan du Chocolat","Bali",600,2010,"72%","U.K.",3.5,NA,"Indonesia","Other","U.K.",0.72
"131","Artisan du Chocolat","Ocumare, Venezuela",355,2009,"75%","U.K.",2.5,"Criollo, Trinitario","Venezuela","Venezuela","U.K.",0.75
"132","Artisan du Chocolat","Java",355,2009,"72%","U.K.",2.75,"Trinitario","Indonesia","Other","U.K.",0.72
"133","Artisan du Chocolat","Brazil Rio Doce",363,2009,"72%","U.K.",1.75,NA,"Brazil","Other","U.K.",0.72
"134","Artisan du Chocolat","Madagascar",363,2009,"80%","U.K.",3,"Criollo, Trinitario","Madagascar","Madagascar","U.K.",0.8
"135","Artisan du Chocolat","Peru",363,2009,"75%","U.K.",3,"Criollo","Peru","Peru","U.K.",0.75
"136","Artisan du Chocolat","Dominican Republic",363,2009,"72%","U.K.",3.25,"Trinitario","Dominican Republic","Dominican Republic","U.K.",0.72
"137","Artisan du Chocolat","Congo",300,2008,"72%","U.K.",3.75,"Forastero","Congo","Other","U.K.",0.72
"138","Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,"72%","U.K.",2.75,"Trinitario","Colombia","Other","U.K.",0.72
"139","Askinosie","Mababa",1780,2016,"68%","U.S.A.",3.75,"Trinitario","Tanzania","Other","U.S.A.",0.68
"140","Askinosie","Tenende, Uwate",647,2011,"72%","U.S.A.",3.75,"Trinitario","Tanzania","Other","U.S.A.",0.72
"141","Askinosie","Cortes",661,2011,"70%","U.S.A.",3.75,"Trinitario","Honduras","Other","U.S.A.",0.7
"142","Askinosie","Davao",331,2009,"77%","U.S.A.",3.75,"Trinitario","Philippines","Other","U.S.A.",0.77
"143","Askinosie","Xoconusco",141,2007,"75%","U.S.A.",2.5,"Trinitario","Mexico","Other","U.S.A.",0.75
"144","Askinosie","San Jose del Tambo",175,2007,"70%","U.S.A.",3,"Forastero (Arriba)","Ecuador","Ecuador","U.S.A.",0.7
"145","Bahen & Co.","Houseblend",1474,2015,"80%","Australia",3.25,NA,NA,"Other","Australia",0.8
"146","Bahen & Co.","Papua New Guinea",1474,2015,"70%","Australia",3.5,NA,"Papua New Guinea","Other","Australia",0.7
"147","Bahen & Co.","Sambirano",995,2012,"70%","Australia",3,"Trinitario","Madagascar","Madagascar","Australia",0.7
"148","Bahen & Co.","Bahia",999,2012,"70%","Australia",2.5,NA,"Brazil","Other","Australia",0.7
"149","Bahen & Co.","Houseblend",999,2012,"70%","Australia",2.5,"Blend",NA,"Other","Australia",0.7
"150","Bakau","Bambamarca, 2015",1454,2015,"70%","Peru",2.75,NA,"Peru","Peru","Other",0.7
"151","Bakau","Huallabamba, 2015",1454,2015,"70%","Peru",3.5,NA,"Peru","Peru","Other",0.7
"152","Bar Au Chocolat","Bahia",1554,2015,"70%","U.S.A.",3.5,NA,"Brazil","Other","U.S.A.",0.7
"153","Bar Au Chocolat","Maranon Canyon",1295,2014,"70%","U.S.A.",4,"Forastero (Nacional)","Peru","Peru","U.S.A.",0.7
"154","Bar Au Chocolat","Duarte Province",983,2012,"70%","U.S.A.",3.25,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.7
"155","Bar Au Chocolat","Chiapas",983,2012,"70%","U.S.A.",3.5,NA,"Mexico","Other","U.S.A.",0.7
"156","Bar Au Chocolat","Sambirano",983,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar","Madagascar","U.S.A.",0.7
"157","Baravelli's","single estate",955,2012,"80%","Wales",2.75,NA,"Costa Rica","Other","Other",0.8
"158","Batch","Dominican Republic, Batch 3",1840,2016,"65%","U.S.A.",3.5,NA,"Domincan Republic","Other","U.S.A.",0.65
"159","Batch","Brazil",1868,2016,"70%","U.S.A.",3.75,NA,"Brazil","Other","U.S.A.",0.7
"160","Batch","Ecuador",1880,2016,"65%","U.S.A.",3.25,NA,"Ecuador","Ecuador","U.S.A.",0.65
"161","Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,"73%","U.K.",3,NA,"Malaysia","Other","U.K.",0.73
"162","Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,"72%","U.K.",3.25,NA,"Malaysia","Other","U.K.",0.72
"163","Beehive","Brazil, Batch 20316",1784,2016,"80%","U.S.A.",2.75,NA,"Brazil","Other","U.S.A.",0.8
"164","Beehive","Dominican Republic, Batch 31616",1784,2016,"70%","U.S.A.",2.75,NA,"Domincan Republic","Other","U.S.A.",0.7
"165","Beehive","Ecuador, Batch 31516",1784,2016,"70%","U.S.A.",2.75,NA,"Ecuador","Ecuador","U.S.A.",0.7
"166","Beehive","Ecuador",1788,2016,"90%","U.S.A.",2.75,NA,"Ecuador","Ecuador","U.S.A.",0.9
"167","Belcolade","Costa Rica",586,2010,"64%","Belgium",2.75,NA,"Costa Rica","Other","Belgium",0.64
"168","Belcolade","Papua New Guinea",586,2010,"64%","Belgium",2.75,NA,"Papua New Guinea","Other","Belgium",0.64
"169","Belcolade","Peru",586,2010,"64%","Belgium",2.75,NA,"Peru","Peru","Belgium",0.64
"170","Belcolade","Ecuador",586,2010,"71%","Belgium",3.5,NA,"Ecuador","Ecuador","Belgium",0.71
"171","Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,"70%","U.S.A.",3.5,"Criollo, Trinitario","Tanzania","Other","U.S.A.",0.7
"172","Bellflower","Alto Beni, Palos Blanco",1804,2016,"70%","U.S.A.",3.25,NA,"Bolivia","Other","U.S.A.",0.7
"173","Bellflower","Oko Caribe, Duarte P.",1864,2016,"70%","U.S.A.",3.5,NA,"Domincan Republic","Other","U.S.A.",0.7
"174","Belyzium","Belize south, low fermentation",1768,2016,"83%","Germany",2.75,"Trinitario","Belize","Other","Germany",0.83
"175","Belyzium","Belize south",1768,2016,"78%","Germany",3,"Trinitario","Belize","Other","Germany",0.78
"176","Belyzium","Belize south",1768,2016,"83%","Germany",3.5,"Trinitario","Belize","Other","Germany",0.83
"177","Benoit Nihant","Baracoa",1141,2013,"74%","Belgium",3.5,"Trinitario","Cuba","Other","Belgium",0.74
"178","Benoit Nihant","Chuao",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela","Venezuela","Belgium",0.74
"179","Benoit Nihant","Cuyagua Village",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela","Venezuela","Belgium",0.74
"180","Benoit Nihant","Rio Peripa H.",1141,2013,"73%","Belgium",4,"Trinitario","Ecuador","Ecuador","Belgium",0.73
"181","Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,"72%","Belgium",4,"Trinitario","Indonesia","Other","Belgium",0.72
"182","Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,"72%","Belgium",3.75,"Trinitario","Madagascar","Madagascar","Belgium",0.72
"183","Bernachon","Nature",797,2012,"55%","France",2.75,NA,NA,"Other","France",0.55
"184","Beschle (Felchlin)","Madagascar",636,2011,"64%","Switzerland",3,"Trinitario","Madagascar","Madagascar","Switzerland",0.64
"185","Beschle (Felchlin)","Maracaibo",636,2011,"88%","Switzerland",3,"Criollo","Venezuela","Venezuela","Switzerland",0.88
"186","Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,"72%","Switzerland",3.5,NA,"Venezuela","Venezuela","Switzerland",0.72
"187","Beschle (Felchlin)","Ecuador",636,2011,"72%","Switzerland",4,NA,"Ecuador","Ecuador","Switzerland",0.72
"188","Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,"70%","Switzerland",3.25,"Trinitario","Venezuela","Venezuela","Switzerland",0.7
"189","Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,"74%","Switzerland",3.25,"Criollo (Porcelana)","Venezuela","Venezuela","Switzerland",0.74
"190","Beschle (Felchlin)","Java, Grand Cru",508,2010,"64%","Switzerland",3.5,NA,"Indonesia","Other","Switzerland",0.64
"191","Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,"72%","Switzerland",3.5,NA,"Venezuela","Venezuela","Switzerland",0.72
"192","Bisou","Nicaragua, American style",1482,2015,"76%","U.S.A.",2.5,NA,"Nicaragua","Other","U.S.A.",0.76
"193","Bisou","San Andres, American style",1486,2015,"76%","U.S.A.",2.5,NA,"Costa Rica","Other","U.S.A.",0.76
"194","Bisou","San Andres, silk",1486,2015,"78%","U.S.A.",2.5,NA,"Costa Rica","Other","U.S.A.",0.78
"195","Bisou","Belize",1486,2015,"86%","U.S.A.",3.25,"Trinitario","Belize","Other","U.S.A.",0.86
"196","Bittersweet Origins","Ghana",963,2012,"72%","U.S.A.",3.5,"Forastero","Ghana","Other","U.S.A.",0.72
"197","Bittersweet Origins","Bali, Singaraja",478,2010,"75%","U.S.A.",3.25,NA,"Indonesia","Other","U.S.A.",0.75
"198","Bittersweet Origins","2009 Hapa Nibby",502,2010,"70%","U.S.A.",3.75,"Blend","Dominican Rep., Bali","Other","U.S.A.",0.7
"199","Bittersweet Origins","Bali, Singaraja",558,2010,"65%","U.S.A.",2.75,NA,"Indonesia","Other","U.S.A.",0.65
"200","Bittersweet Origins","Sambirano, 2009",565,2010,"70%","U.S.A.",3,"Trinitario","Madagascar","Madagascar","U.S.A.",0.7
"201","Bittersweet Origins","Ocumare, prototype",565,2010,"78%","U.S.A.",3,"Criollo","Venezuela","Venezuela","U.S.A.",0.78
"202","Bittersweet Origins","Puerto Plata",414,2009,"75%","U.S.A.",3,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.75
"203","Bittersweet Origins","Puerto Plata",414,2009,"65%","U.S.A.",3.5,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.65
"204","Bittersweet Origins","Sambirano",423,2009,"75%","U.S.A.",3.25,"Trinitario","Madagascar","Madagascar","U.S.A.",0.75
"205","Bittersweet Origins","Sambirano",431,2009,"65%","U.S.A.",3.5,"Trinitario","Madagascar","Madagascar","U.S.A.",0.65
"206","Bittersweet Origins","Sambirano",233,2008,"71%","U.S.A.",3,"Trinitario","Madagascar","Madagascar","U.S.A.",0.71
"207","Bittersweet Origins","Bocas del Toro",233,2008,"75%","U.S.A.",3.5,NA,"Panama","Other","U.S.A.",0.75
"208","Bittersweet Origins","Puerto Plata",233,2008,"68%","U.S.A.",3.75,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.68
"209","Bittersweet Origins","Ankasa",256,2008,"70%","U.S.A.",3,"Forastero","Ghana","Other","U.S.A.",0.7
"210","Black Mountain","La Red",256,2008,"70%","U.S.A.",2.75,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.7
"211","Black Mountain","Carenero Superior",256,2008,"70%","U.S.A.",2.75,"Trinitario","Venezuela","Venezuela","U.S.A.",0.7
"212","Black Mountain","Matiguas",256,2008,"70%","U.S.A.",3,NA,"Nicaragua","Other","U.S.A.",0.7
"213","Black River (A. Morin)","Blue Mountain Region",1331,2014,"70%","U.K.",2.75,"Trinitario","Jamaica","Other","U.K.",0.7
"214","Blanxart","Congo, Grand Cru",1046,2013,"82%","Spain",3.5,"Forastero","Congo","Other","Other",0.82
"215","Blanxart","Organic Dark",322,2009,"72%","Spain",2.75,NA,NA,"Other","Other",0.72
"216","Blue Bandana","Akesson's E., Sambirano V.",1740,2016,"82%","U.S.A.",3.5,"Trinitario","Madagascar","Madagascar","U.S.A.",0.82
"217","Blue Bandana","Lachua",1752,2016,"75%","U.S.A.",2.75,NA,"Guatemala","Other","U.S.A.",0.75
"218","Blue Bandana","Kokoa Kamili",1752,2016,"75%","U.S.A.",3.5,NA,"Tanzania","Other","U.S.A.",0.75
"219","Blue Bandana","Zorzal Reserva",1756,2016,"75%","U.S.A.",3,NA,"Dominican Republic","Dominican Republic","U.S.A.",0.75
"220","Blue Bandana","Guatemala",911,2012,"70%","U.S.A.",3.5,NA,"Guatemala","Other","U.S.A.",0.7
"221","Blue Bandana","Madagascar",911,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar","Madagascar","U.S.A.",0.7
"222","Bonnat","Selva Maya",1912,2016,"75%","France",3.5,NA,"Mexico","Other","France",0.75
